deal_name,hs_timestamp,hs_call_title,hs_call_body,hs_call_duration,hs_call_direction,hs_call_status
Lonestar Assembly Solutions - Process Optimization Suite,2025-01-14T10:30:00Z,Discovery Call - Lonestar Assembly,"Spoke with VP Operations Ray Delgado. They're running 3 assembly lines with outdated process controls — losing ~12% throughput to changeover inefficiencies. Budget approved by COO for Q1. Ray wants to see how our optimization suite handles multi-line scheduling.",1800000,OUTBOUND,COMPLETED
Lonestar Assembly Solutions - Process Optimization Suite,2025-02-11T14:00:00Z,Pricing Walkthrough - Lonestar,"Reviewed enterprise pricing with Ray and their procurement lead. $200K for full suite across 3 lines. They want phased payment tied to line-by-line rollout milestones. Agreeable — sent revised commercial terms.",1500000,OUTBOUND,COMPLETED
Lonestar Assembly Solutions - Process Optimization Suite,2025-03-10T09:00:00Z,Contract Clarification - Lonestar,"Ray called to clarify SLA terms around uptime guarantees during peak production. Confirmed 99.5% uptime SLA with 4-hour response. He's satisfied — says procurement is doing final review this week.",900000,INBOUND,COMPLETED
Cascade Automation Systems - Quality Management System,2025-02-03T11:00:00Z,Discovery Call - Cascade Automation,"Connected with Plant Director Beth Sorensen. They had an FDA audit finding last quarter — need to upgrade their QMS before next inspection in August. Currently paper-based tracking. Beth has full authority to buy, needs to align with IT on deployment timeline.",1800000,OUTBOUND,COMPLETED
Cascade Automation Systems - Quality Management System,2025-03-18T15:00:00Z,Follow-up - IT Requirements Cascade,"Called Beth's IT Director Kevin Tran. Walked through infrastructure requirements — they need on-prem option, not cloud-only. Confirmed we support hybrid deployment. Kevin signed off on architecture. No technical blockers.",1200000,OUTBOUND,COMPLETED
Cascade Automation Systems - Quality Management System,2025-05-20T10:00:00Z,Decision Maker Check-in - Cascade,"Beth confirmed her CEO saw the demo and is bought in. Remaining step: Beth wants to negotiate payment terms before signing. She's targeting close by end of June to start implementation in July, ahead of August FDA audit.",600000,INBOUND,COMPLETED
Summit Plastics Corp - Maintenance Contract,2025-03-05T09:30:00Z,Intro Call - Summit Plastics,"Called Operations Director Marcus Webb at Summit Plastics. They're running 24/7 injection molding operation. Had two unplanned shutdowns last quarter costing $180K each. Marcus is desperate for predictive maintenance. This could be our largest maintenance deal this year.",1500000,OUTBOUND,COMPLETED
Summit Plastics Corp - Maintenance Contract,2025-04-15T13:00:00Z,ROI Review - Summit Plastics,"Marcus and CFO joined to review our ROI model. Projected $720K/year savings from reduced unplanned downtime. CFO was impressed but pushed back on 3-year commitment — wants to start with 18 months. We can work with that.",2100000,OUTBOUND,COMPLETED
Summit Plastics Corp - Maintenance Contract,2025-05-28T11:00:00Z,Champion Update - Summit,"Quick check-in with Marcus. CEO approved the spend last week. Marcus is working with legal on the MSA redlines. He's confident we close by end of June. Asked about implementation timeline — told him 6 weeks from signature to sensors-live.",900000,INBOUND,COMPLETED
Frontier Hydraulics - Maintenance Contract,2025-03-19T14:00:00Z,Discovery - Frontier Hydraulics,"Spoke with Maintenance Mgr Dave Kowalski. They have 40+ hydraulic presses across 2 facilities. Current maintenance is calendar-based — lots of unnecessary PM and still getting surprise failures. Dave wants condition-based monitoring. Budget range $50K.",1200000,OUTBOUND,COMPLETED
