deal_name,hs_timestamp,hs_meeting_title,hs_meeting_body,hs_meeting_start_time,hs_meeting_end_time,hs_meeting_location,hs_meeting_outcome
Lonestar Assembly Solutions - Process Optimization Suite,2025-01-28T15:00:00Z,Product Demo - Lonestar Assembly,"Full demo for Ray Delgado and his 3 line supervisors. Showed real-time scheduling optimization, changeover prediction, and throughput analytics. Strong engagement from the floor supervisors — they see immediate value. Ray asked for a pilot proposal.",2025-01-28T15:00:00Z,2025-01-28T16:00:00Z,https://zoom.us/j/demo-lonestar,COMPLETED
Lonestar Assembly Solutions - Process Optimization Suite,2025-02-18T10:00:00Z,Pilot Results Review - Lonestar,"Reviewed 2-week pilot data with Ray and COO. Line 2 showed 9% throughput improvement during pilot. COO is fully on board. Moved to contract negotiation — procurement will send redlines this week.",2025-02-18T10:00:00Z,2025-02-18T11:00:00Z,https://zoom.us/j/pilot-lonestar,COMPLETED
Lonestar Assembly Solutions - Process Optimization Suite,2025-03-17T14:00:00Z,Contract Negotiation - Lonestar,"Final contract review with Ray, procurement, and their counsel. Two open items: (1) IP ownership of process models trained on their data, (2) penalty clause for late implementation milestones. Agreed to a 30-day cure period. Contract should be signed this week.",2025-03-17T14:00:00Z,2025-03-17T15:30:00Z,On-site: Lonestar HQ San Antonio,COMPLETED
Cascade Automation Systems - Quality Management System,2025-02-19T14:00:00Z,QMS Demo - Cascade Automation,"Demo for Beth Sorensen and her quality team (5 attendees). Showed document control, CAPA workflow, audit trail, and FDA 21 CFR Part 11 compliance features. Quality Manager was very excited — said this solves their top 3 audit findings.",2025-02-19T14:00:00Z,2025-02-19T15:30:00Z,https://zoom.us/j/demo-cascade,COMPLETED
Cascade Automation Systems - Quality Management System,2025-04-08T10:00:00Z,CEO Presentation - Cascade,"Beth arranged a 30-min presentation to CEO Alan Park. Focused on risk reduction (FDA compliance), ROI (paper elimination saves 2 FTEs), and timeline (live before August audit). CEO asked about references in pharma-adjacent manufacturing — sent 3 case studies after the call.",2025-04-08T10:00:00Z,2025-04-08T10:30:00Z,https://zoom.us/j/ceo-cascade,COMPLETED
Cascade Automation Systems - Quality Management System,2025-06-02T11:00:00Z,Implementation Planning - Cascade,"Working session with Beth and Kevin Tran (IT). Mapped out deployment plan: hybrid architecture, Phase 1 document control (4 weeks), Phase 2 CAPA workflows (3 weeks), Phase 3 full audit module (2 weeks). Go-live target: August 1. Tight but doable.",2025-06-02T11:00:00Z,2025-06-02T12:30:00Z,On-site: Cascade facility Portland OR,COMPLETED
Summit Plastics Corp - Maintenance Contract,2025-03-20T14:00:00Z,Demo - Summit Plastics Predictive Maintenance,"Demoed to Marcus Webb and his maintenance team lead. Showed vibration analysis, thermal monitoring, and the predictive failure dashboard. Marcus's jaw dropped when we showed the 72-hour advance warning capability. His tech lead asked detailed questions about sensor integration with their Engel machines.",2025-03-20T14:00:00Z,2025-03-20T15:00:00Z,https://zoom.us/j/demo-summit,COMPLETED
Summit Plastics Corp - Maintenance Contract,2025-04-30T09:00:00Z,Executive Alignment - Summit Plastics,"Marcus brought CEO and CFO. Presented the business case: $250K investment yields $720K/year savings. CEO asked about competitors — told him we're the only vendor with injection molding-specific models. CFO approved 18-month initial term with renewal option. Deal is greenlit.",2025-04-30T09:00:00Z,2025-04-30T10:00:00Z,On-site: Summit Plastics HQ Milwaukee,COMPLETED
Frontier Hydraulics - Maintenance Contract,2025-04-02T10:00:00Z,Demo - Frontier Hydraulics,"Demo for Dave Kowalski and 2 maintenance techs. Focused on hydraulic press monitoring — showed how our sensors detect seal wear and valve degradation before failure. Dave wants to pilot on their oldest Schuler press first. Good sign — he's thinking about implementation, not evaluation.",2025-04-02T10:00:00Z,2025-04-02T11:00:00Z,https://zoom.us/j/demo-frontier,COMPLETED
Blue Ridge Packaging - Automation Integration,2025-04-15T14:00:00Z,Demo - Blue Ridge Packaging Automation,"Demo for Lisa Huang and her automation engineer. Showed SCADA integration, packaging line orchestration, and the palletizer control module she asked about. Lisa was impressed by the commissioning speed — our last similar install was 3 weeks from delivery to production.",2025-04-15T14:00:00Z,2025-04-15T15:00:00Z,https://zoom.us/j/demo-blueridge,COMPLETED
Pinnacle Composites - Safety Compliance Upgrade,2025-05-14T10:00:00Z,Safety System Demo - Pinnacle Composites,"Demo for Sandra Mills and their facility safety team. Showed gas detection, ventilation monitoring, PPE compliance tracking, and the incident reporting module. Sandra's main concern: can we integrate with their existing fire suppression system? Answer: yes via Modbus. Demo went well.",2025-05-14T10:00:00Z,2025-05-14T11:00:00Z,https://zoom.us/j/demo-pinnacle,COMPLETED
TrueForm Tool & Die - Equipment Upgrade Package,2025-04-10T13:00:00Z,On-site Assessment - TrueForm,"Visited Frank Mercer's shop to assess the 4 machines tagged for upgrade. Two Haas VF-2s and two Mazak QTNs. Controls are original — definitely due for retrofit. Frank showed us the workflow bottlenecks. Straightforward job — we can start in 2 weeks from PO.",2025-04-10T13:00:00Z,2025-04-10T14:30:00Z,On-site: TrueForm shop floor Columbus OH,COMPLETED
